request_id,origin_label,dest_label,o_lat,o_lon,d_lat,d_lon,dest_name,od_travel_time_min,tw_lower_min,tw_lower_str,tw_arrival_idx,tw_batch_pos,req_type,companions,route_mode
1,O1,D1,23.5845451,120.1871967,23.6971893,120.5259688,斗六臺大醫院,39.94,542,09:02,1,1,c,1,ok
2,O2,D2,23.51409449999999,120.2089503,23.795326214379028,120.2189095335632,長庚醫院雲林分院,34.05,542,09:02,1,2,c,1,ok
3,O3,D3,23.516917099999997,120.20166440000001,23.72232437133789,120.24504089355469,住家,25.31,543,09:03,2,1,b,1,ok
4,O4,D4,23.5134467,120.209335,23.595767974853516,120.31887817382812,住家,21.71,543,09:03,2,2,b,0,ok
5,O5,D5,23.585879199999994,120.1826619,23.6971893,120.5259688,斗六臺大醫院,39.42,555,09:15,3,1,b,0,ok
6,O6,D6,23.5592733,120.2512918,23.6971893,120.5259688,斗六臺大醫院,36.73,555,09:15,3,2,a,1,ok
7,O7,D7,23.597755500000005,120.1788778,23.7350302896249,120.42687610428565,虎尾台大分院,33.19,555,09:15,3,3,c,1,ok
8,O8,D8,23.6063734,120.24026679999999,23.6971893,120.5259688,斗六臺大醫院,35.08,558,09:18,4,1,c,1,ok
9,O9,D9,23.583252199999997,120.20738259999999,23.723299026489258,120.58312225341797,住家,43.96,558,09:18,4,2,a,0,ok
10,O10,D10,23.652960499999995,120.1558279,23.780712109611365,120.44136548941536,雲林基督教醫院,33.19,558,09:18,4,3,a,1,ok
11,O11,D11,23.6316982,120.25513539999999,23.80019187927246,120.44648742675781,住家,31.69,561,09:21,5,1,c,1,ok
12,O12,D12,23.585318299999997,120.1835948,23.6971893,120.5259688,斗六臺大醫院,39.29,561,09:21,5,2,a,1,ok
13,O13,D13,23.646509699999996,120.2724806,23.59657115924419,120.4570574328335,大林慈濟醫院,26.32,582,09:42,6,1,b,0,ok
14,O14,D14,23.615994099999998,120.16406440000002,23.7350302896249,120.42687610428565,虎尾台大分院,30.4,582,09:42,6,2,b,1,ok
15,O15,D15,23.610088499999996,120.2403026,23.59012378702721,120.30729121027507,中國醫藥大學北港附設醫院,9.92,582,09:42,6,3,b,1,ok
16,O16,D16,23.637474599999997,120.22220619999999,23.701862277709125,120.54578009996398,成大醫院斗六分院,32.02,591,09:51,7,1,c,0,ok
17,O17,D17,23.541391599999997,120.2227467,23.6971893,120.5259688,斗六臺大醫院,42.2,591,09:51,8,1,a,0,ok
18,O18,D18,23.5122215,120.22811840000001,23.780712109611365,120.44136548941536,雲林基督教醫院,46.34,596,09:56,9,1,b,1,ok
