request_id,origin_label,dest_label,o_lat,o_lon,d_lat,d_lon,dest_name,od_travel_time_min,tw_lower_min,tw_lower_str,tw_arrival_idx,tw_batch_pos,req_type,companions,route_mode
1,O1,D1,23.7106231,120.5418707,23.708492413453005,120.43828331693344,若瑟醫院,13.79,547,09:07,1,1,b,1,ok
2,O2,D2,23.690587799999996,120.53974910000001,23.7350302896249,120.42687610428565,虎尾台大分院,16.69,560,09:20,2,1,b,1,ok
3,O3,D3,23.6971031,120.52076380000001,23.708492413453005,120.43828331693344,若瑟醫院,11.11,560,09:20,2,2,b,1,ok
4,O4,D4,23.7025048,120.6005755,23.701862277709125,120.54578009996398,成大醫院斗六分院,7.35,564,09:24,3,1,b,1,ok
5,O5,D5,23.734763099999995,120.56291360000002,23.6971893,120.5259688,斗六臺大醫院,7.68,569,09:29,4,1,a,1,ok
6,O6,D6,23.725375500000002,120.53976499999999,23.7350302896249,120.42687610428565,虎尾台大分院,13.44,569,09:29,4,2,b,1,ok
7,O7,D7,23.702357999999997,120.53888950000001,23.707714080810547,120.5425033569336,住家,1.08,576,09:36,5,1,c,1,ok
8,O8,D8,23.681185199999998,120.5117389,23.59012378702721,120.30729121027507,中國醫藥大學北港附設醫院,31.45,579,09:39,6,1,c,1,ok
9,O9,D9,23.704523399999992,120.5332517,23.6971893,120.5259688,斗六臺大醫院,1.37,579,09:39,6,2,a,1,ok
10,O10,D10,23.702264000000003,120.5584468,23.596540451049805,120.16693878173828,住家,38.92,579,09:39,6,3,a,1,ok
11,O11,D11,23.686985700000005,120.508421,23.708492413453005,120.43828331693344,若瑟醫院,10.55,579,09:39,6,4,b,1,ok
12,O12,D12,23.730437800000004,120.55287219999998,23.6971893,120.5259688,斗六臺大醫院,5.91,579,09:39,6,5,c,1,ok
13,O13,D13,23.703159199999995,120.5423258,23.59657115924419,120.4570574328335,大林慈濟醫院,16.79,596,09:56,7,1,b,0,ok
14,O14,D14,23.708278500000006,120.5484202,23.6971893,120.5259688,斗六臺大醫院,3.45,596,09:56,7,2,a,1,ok
15,O15,D15,23.692729599999996,120.5697599,23.6971893,120.5259688,斗六臺大醫院,6.18,605,10:05,8,1,c,1,ok
16,O16,D16,23.703582700000002,120.5380978,23.6971893,120.5259688,斗六臺大醫院,2.34,614,10:14,9,1,a,2,ok
17,O17,D17,23.727195499999997,120.5885185,23.780712109611365,120.44136548941536,雲林基督教醫院,21.18,619,10:19,10,1,b,1,ok
18,O18,D18,23.7138511,120.53136390000002,23.59657115924419,120.4570574328335,大林慈濟醫院,17.92,627,10:27,11,1,b,0,ok
19,O19,D19,23.704144899999996,120.55107350000002,23.780712109611365,120.44136548941536,雲林基督教醫院,17.8,644,10:44,12,1,a,1,ok
20,O20,D20,23.702232400000003,120.5622714,23.572980880737305,120.29595947265625,住家,35.15,648,10:48,13,1,a,1,ok
21,O21,D21,23.724897699999996,120.5804833,23.59012378702721,120.30729121027507,中國醫藥大學北港附設醫院,37.47,648,10:48,13,2,c,0,ok
22,O22,D22,23.716130800000002,120.56877079999998,23.59012378702721,120.30729121027507,中國醫藥大學北港附設醫院,35.43,648,10:48,13,3,c,1,ok
23,O23,D23,23.702663899999997,120.52191779999998,23.6971893,120.5259688,斗六臺大醫院,1.53,654,10:54,14,1,c,0,ok
24,O24,D24,23.6991712,120.53538669999999,23.6971893,120.5259688,斗六臺大醫院,1.9,654,10:54,14,2,c,0,ok
25,O25,D25,23.708954099999996,120.54145010000002,23.59012378702721,120.30729121027507,中國醫藥大學北港附設醫院,32.81,654,10:54,14,3,b,0,ok
26,O26,D26,23.727499799999997,120.5258435,23.780712109611365,120.44136548941536,雲林基督教醫院,13.56,660,11:00,15,1,b,1,ok
27,O27,D27,23.709752999999996,120.5430857,23.724842071533203,120.41529083251953,住家,17.49,671,11:11,16,1,a,1,ok
28,O28,D28,23.700771199999995,120.53078820000002,23.790992736816406,120.48931884765625,住家,14.38,677,11:17,17,1,c,1,ok
29,O29,D29,23.690598199999993,120.5255011,23.7350302896249,120.42687610428565,虎尾台大分院,15.49,688,11:28,18,1,c,1,ok
30,O30,D30,23.715067599999994,120.52441729999998,23.59657115924419,120.4570574328335,大林慈濟醫院,17.5,699,11:39,19,1,c,0,ok
31,O31,D31,23.705294799999997,120.5564163,23.59012378702721,120.30729121027507,中國醫藥大學北港附設醫院,33.42,710,11:50,20,1,b,1,ok
32,O32,D32,23.702361000000003,120.5930423,23.6971893,120.5259688,斗六臺大醫院,8.67,718,11:58,21,1,b,0,ok
33,O33,D33,23.7330723,120.56132720000001,23.780712109611365,120.44136548941536,雲林基督教醫院,17.62,750,12:30,22,1,b,1,ok
34,O34,D34,23.7123363,120.5901251,23.780712109611365,120.44136548941536,雲林基督教醫院,21.53,750,12:30,22,2,b,1,ok
35,O35,D35,23.692215899999994,120.5276261,23.708492413453005,120.43828331693344,若瑟醫院,12.14,750,12:30,22,3,a,1,ok
36,O36,D36,23.716407999999994,120.5312457,23.59657115924419,120.4570574328335,大林慈濟醫院,18.11,750,12:30,22,4,b,0,ok
37,O37,D37,23.7393934,120.56423050000001,23.708492413453005,120.43828331693344,若瑟醫院,17.01,750,12:30,22,5,a,2,ok
38,O38,D38,23.704684400000005,120.5030837,23.59012378702721,120.30729121027507,中國醫藥大學北港附設醫院,29.43,750,12:30,22,6,b,1,ok
39,O39,D39,23.674743599999992,120.52569590000002,23.6971893,120.5259688,斗六臺大醫院,4.57,782,13:02,23,1,a,0,ok
40,O40,D40,23.7182816,120.5315694,23.780712109611365,120.44136548941536,雲林基督教醫院,14.87,782,13:02,23,2,b,1,ok
41,O41,D41,23.702399300000003,120.54094820000002,23.702303630898847,120.52991509874099,佛教斗六慈濟醫院,1.65,786,13:06,24,1,a,0,ok
42,O42,D42,23.7087599,120.52946450000002,23.6971893,120.5259688,斗六臺大醫院,2.19,804,13:24,25,1,b,1,ok
43,O43,D43,23.704361600000006,120.5559301,23.6971893,120.5259688,斗六臺大醫院,4.06,815,13:35,26,1,c,2,ok
44,O44,D44,23.7145276,120.5372137,23.6971893,120.5259688,斗六臺大醫院,3.35,825,13:45,27,1,a,1,ok
45,O45,D45,23.7420134,120.556664,23.6971893,120.5259688,斗六臺大醫院,7.33,825,13:45,27,2,a,1,ok
46,O46,D46,23.725020499999992,120.5397231,23.6971893,120.5259688,斗六臺大醫院,4.91,825,13:45,27,3,c,1,ok
47,O47,D47,23.7101372,120.5298523,23.6971893,120.5259688,斗六臺大醫院,2.75,825,13:45,27,4,a,0,ok
48,O48,D48,23.694771899999996,120.52118150000001,23.59012378702721,120.30729121027507,中國醫藥大學北港附設醫院,31.36,839,13:59,28,1,b,1,ok
